id,name,H,A,B,C,D,S,T
771,ナマコブシ,55,60,130,30,130,5,410
772,タイプ：ヌル,95,95,95,95,95,59,534
773,シルヴァディ,95,95,95,95,95,95,570
776,バクガメス,60,78,135,91,85,36,485
777,トゲデマル,65,98,63,40,73,96,435
778,ミミッキュ,55,90,80,50,105,96,476
780,ジジーロン,78,60,85,135,91,36,485
781,ダダリン,70,131,100,86,90,40,517
782,ジャラコ,45,55,65,45,45,45,300
783,ジャランゴ,55,75,90,65,70,65,420
784,ジャラランガ,75,110,125,100,105,85,600
785,カプ・コケコ,70,115,85,95,75,130,570
786,カプ・テテフ,70,85,75,130,115,95,570
787,カプ・ブルル,70,130,115,85,95,75,570
788,カプ・レヒレ,70,75,115,95,130,85,570
789,コスモッグ,43,29,31,29,31,37,200
790,コスモウム,43,29,131,29,131,37,400
791,ソルガレオ,137,137,107,113,89,97,680
792,ルナアーラ,137,113,89,137,107,97,680
793,ウツロイド,109,53,47,127,131,103,570
794,マッシブーン,107,139,139,53,53,79,570
795,フェローチェ,71,137,37,137,37,151,570
796,デンジュモク,83,89,71,173,71,83,570
797,テッカグヤ,97,101,103,107,101,61,570
798,カミツルギ,59,181,131,59,31,109,570
799,アクジキング,223,101,53,97,53,43,570
800,ネクロズマ,97,107,101,127,89,79,600
800,ネクロズマ(日食),97,157,127,113,109,77,680
800,ネクロズマ(月食),97,113,109,157,127,77,680
801,マギアナ,80,95,115,130,115,65,600
802,マーシャドー,90,125,80,90,90,125,600
803,ベベノム,67,73,67,73,67,73,420
804,アーゴヨン,73,73,73,127,73,121,540
805,ツンデツンデ,61,131,211,53,101,13,570
806,ズガドーン,53,127,53,151,79,107,570
807,ゼラオラ,88,112,75,102,80,143,600
808,メルタン,46,65,65,55,35,34,300
809,メルメタル,135,143,143,80,65,34,600
810,サルノリ,50,65,50,40,40,65,310
811,バチンキー,70,85,70,55,60,80,420
812,ゴリランダー,100,125,90,60,70,85,530
813,ヒバニー,50,71,40,40,40,69,310
814,ラビフット,65,86,60,55,60,94,420
815,エースバーン,80,116,75,65,75,119,530
816,メッソン,50,40,40,70,40,70,310
817,ジメレオン,65,60,55,95,55,90,420
818,インテレオン,70,85,65,125,65,120,530
819,ホシガリス,70,55,55,35,35,25,275
820,ヨクバリス,120,95,95,55,75,20,460
821,ココガラ,38,47,35,33,35,57,245
822,アオガラス,68,67,55,43,55,77,365
823,アーマーガア,98,87,105,53,85,67,495
824,サッチムシ,25,20,20,25,45,45,180
825,レドームシ,50,35,80,50,90,30,335
826,イオルブ,60,45,110,80,120,90,505
827,クスネ,40,28,28,47,52,50,245
828,フォクスライ,70,58,58,87,92,90,455
829,ヒメンカ,40,40,60,40,60,10,250
830,ワタシラガ,60,50,90,80,120,60,460
831,ウールー,42,40,55,40,45,48,270
832,バイウールー,72,80,100,60,90,88,490
833,カムカメ,50,64,50,38,38,44,284
834,カジリガメ,90,115,90,48,68,74,485
835,ワンパチ,59,45,50,40,50,26,270
836,パルスワン,69,90,60,90,60,121,490
837,タンドン,30,40,50,40,50,30,240
838,トロッゴン,80,60,90,60,70,50,410
839,セキタンザン,110,80,120,80,90,30,510
840,カジッチュ,40,40,80,40,40,20,260
841,アップリュー,70,110,80,95,60,70,485
842,タルップル,110,85,80,100,80,30,485
843,スナヘビ,52,57,75,35,50,46,315
844,サダイジャ,72,107,125,65,70,71,510
845,ウッウ,70,85,55,85,95,85,475
846,サシカマス,41,63,40,40,30,66,280
847,カマスジョー,61,123,60,60,50,136,490
848,エレズン,40,38,35,54,35,40,242
849,ストリンダー(ハイ),75,98,70,114,70,75,502
849,ストリンダー(ロー),75,98,70,114,70,75,502
850,ヤクデ,50,65,45,50,50,45,305
851,マルヤクデ,100,115,65,90,90,65,525
852,タタッコ,50,68,60,50,50,32,310
853,オトスパス,80,118,90,70,80,42,480
854,ヤバチャ,40,45,45,74,54,50,308
855,ポットデス,60,65,65,134,114,70,508
856,ミブリム,42,30,45,56,53,39,265
857,テブリム,57,40,65,86,73,49,370
858,ブリムオン,57,90,95,136,103,29,510
859,ベロバー,45,45,30,55,40,50,265
860,ギモー,65,60,45,75,55,70,370
861,オーロンゲ,95,120,65,95,75,60,510
862,タチフサグマ,93,90,101,60,81,95,520
863,ニャイキング,70,110,100,50,60,50,440
864,サニゴーン,60,95,50,145,130,30,510
865,ネギガナイト,62,135,95,68,82,65,507
866,バリコオル,80,85,75,110,100,70,520
867,デスバーン,58,95,145,50,105,30,483
868,マホミル,45,40,40,50,61,34,270
869,マホイップ,65,60,75,110,121,64,495
870,タイレーツ,65,100,100,70,60,75,470
871,バチンウニ,48,101,95,91,85,15,435
872,ユキハミ,30,25,35,45,30,20,185
873,モスノウ,70,65,60,125,90,65,475
874,イシヘンジン,100,125,135,20,20,70,470
875,コオリッポ(アイスフェイス),75,80,110,65,90,50,470
875,コオリッポ(ナイスフェイス),75,80,70,65,50,130,470
876,イエッサン♂,60,65,55,105,95,95,475
876,イエッサン♀,70,55,65,95,105,85,475
877,モルペコ,58,95,58,70,58,97,436
878,ゾウドウ,72,80,49,40,49,40,330
879,ダイオウドウ,122,130,69,80,69,30,500
880,パッチラゴン,90,100,90,80,70,75,505
881,パッチルドン,90,100,90,90,80,55,505
882,ウオノラゴン,90,90,100,70,80,75,505
883,ウオチルドン,90,90,100,80,90,55,505
884,ジュラルドン,70,95,115,120,50,85,535
885,ドラメシヤ,28,60,30,40,30,82,270
886,ドロンチ,68,80,50,60,50,102,410
887,ドラパルト,88,120,75,100,75,142,600
888,ザシアン(勇者),92,130,115,80,115,138,670
888,ザシアン(王),92,170,115,80,115,148,720
889,ザマゼンタ(勇者),92,130,115,80,115,138,670
889,ザマゼンタ(王),92,130,145,80,145,128,720
890,ムゲンダイナ,140,85,95,145,95,130,690
891,ダクマ,60,90,60,53,50,72,385
892,ウーラオス(一撃),100,130,100,63,60,97,550
892,ウーラオス(連撃),100,130,100,63,60,97,550
893,ザルード,105,120,105,70,95,105,600
894,レジエレキ,80,100,50,100,50,200,580
895,レジドラゴ,200,100,50,100,50,80,580
896,ブリザポス,100,145,130,65,110,30,580
897,レイスポス,100,65,60,145,80,130,580
898,バドレックス,100,80,80,80,80,80,500
898,バドレックス(白),100,165,150,85,130,50,680
898,バドレックス(黒),100,85,80,165,100,150,680
